Year,Tm,Lg,W,L,Finish,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Winning_%
2017,New York Yankees,AL East,91,71,2,3154938,38950,2nd of 15,"$182,424,700 ",103,104,Yankee Stadium III,0.56
2016,New York Yankees,AL East,84,78,4,3063405,37820,2nd of 15,"$193,229,350 ",102,103,Yankee Stadium III,0.52
2015,New York Yankees,AL East,87,75,2,3193795,39430,1st of 15,"$214,051,957 ",101,101,Yankee Stadium III,0.54
2014,New York Yankees,AL East,84,78,2,3401624,41995,1st of 15,"$258,118,959 ",100,100,Yankee Stadium III,0.52
2013,New York Yankees,AL East,85,77,3,3279589,40489,1st of 15,"$246,534,750 ",100,100,Yankee Stadium III,0.52
2012,New York Yankees,AL East,95,67,1,3542406,43733,1st of 14,"$197,977,900 ",103,104,Yankee Stadium III,0.59
2011,New York Yankees,AL East,97,65,1,3653680,45107,1st of 14,"$206,275,028 ",105,106,Yankee Stadium III,0.60
2010,New York Yankees,AL East,95,67,2,3765807,46491,1st of 14,"$210,733,389 ",104,106,Yankee Stadium III,0.59
2009,New York Yankees,AL East,103,59,1,3719358,45918,1st of 14,"$210,330,039 ",103,105,Yankee Stadium III,0.64
2008,New York Yankees,AL East,89,73,3,4298655,53070,1st of 14,"$212,286,789 ",101,103,Yankee Stadium II,0.55
2007,New York Yankees,AL East,94,68,2,4271083,52729,1st of 14,"$207,039,045 ",100,101,Yankee Stadium II,0.58
2006,New York Yankees,AL East,97,65,1,4248067,52445,1st of 14,"$194,663,079 ",99,101,Yankee Stadium II,0.60
2005,New York Yankees,AL East,95,67,1,4090696,50502,1st of 14,"$208,306,817 ",97,98,Yankee Stadium II,0.59
2004,New York Yankees,AL East,101,61,1,3775292,46609,1st of 14,"$184,193,950 ",97,98,Yankee Stadium II,0.62
2003,New York Yankees,AL East,101,61,1,3465600,42263,1st of 14,"$152,749,814 ",97,98,Yankee Stadium II,0.62
2002,New York Yankees,AL East,103,58,1,3465807,43323,2nd of 14,"$125,928,583 ",99,100,Yankee Stadium II,0.64
2001,New York Yankees,AL East,95,65,1,3264907,40811,2nd of 14,"$112,787,143 ",100,101,Yankee Stadium II,0.59
2000,New York Yankees,AL East,87,74,1,3055435,38193,3rd of 14,"$93,113,260 ",98,99,Yankee Stadium II,0.54
1999,New York Yankees,AL East,98,64,1,3292736,40651,3rd of 14,"$86,934,359 ",96,98,Yankee Stadium II,0.60
1998,New York Yankees,AL East,114,48,1,2955193,36484,3rd of 14,"$66,806,867 ",95,97,Yankee Stadium II Shea Stadium,0.70
1997,New York Yankees,AL East,96,66,2,2580325,32254,5th of 14,"$62,241,545 ",98,100,Yankee Stadium II,0.59
1996,New York Yankees,AL East,92,70,1,2250877,28136,7th of 14,"$54,191,792 ",100,101,Yankee Stadium II,0.57
1995,New York Yankees,AL East,79,65,2,1705263,23360,7th of 14,"$48,874,851 ",98,99,Yankee Stadium II,0.55
1994,New York Yankees,AL East,70,43,1,1675556,29396,6th of 14,"$46,040,334 ",95,96,Yankee Stadium II,0.62
1993,New York Yankees,AL East,88,74,2,2416942,29839,5th of 14,"$42,723,000 ",96,97,Yankee Stadium II,0.54
1992,New York Yankees,AL East,76,86,4,1748737,21589,11th of 14,"$37,652,334 ",99,99,Yankee Stadium II,0.47
1991,New York Yankees,AL East,71,91,5,1863733,23009,11th of 14,"$27,344,168 ",101,100,Yankee Stadium II,0.44
