Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,G,Adjusted_Salary,Attendance, Winning_% 
ARI,NL,1998,665,812,65,0.314,0.393,0.246,0,162,49229180,3600412, 0.40 
ARI,NL,1999,908,676,100,0.347,0.459,0.277,1,162,103139038,3019654, 0.62 
ARI,NL,2000,792,754,85,0.333,0.429,0.265,0,162,117986736,2819539, 0.52 
ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,162,109134809,2735821, 0.57 
ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,162,142919799,3200725, 0.60 
ARI,NL,2003,717,685,84,0.33,0.417,0.263,0,162,109693520,2805542, 0.52 
ARI,NL,2004,615,899,51,0.31,0.393,0.253,0,162,92369498,2519560, 0.31 
ARI,NL,2005,696,856,77,0.332,0.421,0.256,0,162,79374292,2059331, 0.48 
ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,162,74380440,2091505, 0.47 
ARI,NL,2007,712,732,90,0.321,0.413,0.25,1,162,63001731,2316507, 0.56 
ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,162,77457173,2509924, 0.51 
ATL,NL,1998,826,581,106,0.342,0.453,0.272,1,162,93664340,3360860, 0.65 
ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,162,97902360,3284901, 0.64 
ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,162,110694041,3234304, 0.59 
ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,162,129634166,2823530, 0.54 
ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,161,126434910,2603482, 0.63 
ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,162,140411387,2401084, 0.62 
ATL,NL,2004,803,668,96,0.343,0.434,0.27,1,162,119942725,2322565, 0.59 
ATL,NL,2005,769,674,90,0.333,0.435,0.265,1,162,110665347,2521534, 0.56 
ATL,NL,2006,849,805,79,0.337,0.455,0.27,0,162,92959493,2549522, 0.49 
ATL,NL,2007,810,733,84,0.339,0.435,0.275,0,162,86703558,2745203, 0.52 
ATL,NL,2008,753,778,72,0.345,0.408,0.27,0,162,119311549,2532834, 0.44 
BAL,AL,1998,817,785,79,0.347,0.447,0.273,0,162,111427676,3684650, 0.49 
BAL,AL,1999,851,815,78,0.353,0.447,0.279,0,162,122016853,3432099, 0.48 
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,162,119935255,3153397, 0.46 
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,162,78590610,3094841, 0.39 
BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,162,66309529,2682917, 0.41 
BAL,AL,2003,743,820,71,0.323,0.405,0.268,0,163,72824600,2454523, 0.44 
BAL,AL,2004,842,830,78,0.345,0.432,0.281,0,162,58019033,2744013, 0.48 
BAL,AL,2005,729,800,74,0.327,0.434,0.269,0,162,93793066,2624804, 0.46 
BAL,AL,2006,768,899,70,0.339,0.424,0.277,0,162,88841142,2153250, 0.43 
BAL,AL,2007,756,868,69,0.333,0.412,0.272,0,162,103636805,2164822, 0.43 
BAL,AL,2008,782,869,68,0.333,0.429,0.267,0,161,69971359,1950075, 0.42 
BOS,AL,1998,876,729,92,0.348,0.463,0.28,1,162,79859780,2314704, 0.57 
BOS,AL,1999,836,718,94,0.35,0.448,0.278,1,162,96485225,2446162, 0.58 
BOS,AL,2000,792,745,85,0.341,0.423,0.267,0,162,104116736,2585895, 0.52 
BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,161,155963333,2625333, 0.51 
BOS,AL,2002,859,665,93,0.345,0.444,0.277,0,162,149162373,2650063, 0.57 
BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,162,135519240,2724165, 0.59 
BOS,AL,2004,949,768,98,0.36,0.472,0.282,1,162,168503020,2837304, 0.60 
BOS,AL,2005,910,805,95,0.357,0.454,0.281,1,162,158086560,2813354, 0.59 
BOS,AL,2006,820,825,86,0.351,0.435,0.269,0,162,148024782,2930768, 0.53 
BOS,AL,2007,867,657,96,0.362,0.444,0.279,1,162,161566719,2970755, 0.59 
BOS,AL,2008,845,694,95,0.358,0.447,0.28,1,162,146706341,3048250, 0.59 
CHC,NL,1998,831,792,90,0.337,0.433,0.264,1,163,78024100,2623194, 0.55 
CHC,NL,1999,747,920,67,0.329,0.42,0.257,0,162,92695880,2813854, 0.41 
CHC,NL,2000,764,904,65,0.335,0.411,0.256,0,162,87701226,2789511, 0.40 
CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,162,91896483,2780465, 0.54 
CHC,NL,2002,706,759,67,0.321,0.413,0.246,0,162,104927393,2693071, 0.41 
CHC,NL,2003,724,683,88,0.323,0.416,0.259,1,162,107791333,2962630, 0.54 
CHC,NL,2004,789,665,89,0.328,0.458,0.268,0,162,120444800,3170184, 0.55 
CHC,NL,2005,703,714,79,0.324,0.44,0.27,0,162,111402154,3100262, 0.49 
CHC,NL,2006,716,834,66,0.319,0.422,0.268,0,162,112085046,3123215, 0.41 
CHC,NL,2007,752,690,85,0.333,0.422,0.271,1,162,120137672,3252462, 0.52 
CHC,NL,2008,855,671,97,0.354,0.443,0.278,1,161,140804625,3300200, 0.60 
CHW,AL,1998,861,931,80,0.339,0.444,0.271,0,163,61099500,1391146, 0.49 
CHW,AL,1999,777,870,75,0.337,0.429,0.277,0,162,37704700,1349151, 0.46 
CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,162,45710410,1947799, 0.59 
CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,162,90459207,1766172, 0.51 
CHW,AL,2002,856,798,81,0.338,0.449,0.268,0,162,79303438,1676804, 0.50 
CHW,AL,2003,791,715,86,0.331,0.446,0.263,0,162,69373600,1939524, 0.53 
CHW,AL,2004,865,831,83,0.333,0.457,0.268,0,162,86732625,1930537, 0.51 
CHW,AL,2005,741,645,99,0.322,0.425,0.262,1,162,95820800,2342834, 0.61 
CHW,AL,2006,868,794,90,0.342,0.464,0.28,0,162,127410827,2957414, 0.56 
CHW,AL,2007,693,839,72,0.318,0.404,0.246,0,162,131492918,2684395, 0.44 
CHW,AL,2008,811,729,89,0.332,0.448,0.263,1,163,141332293,2501103, 0.55 
CIN,NL,1998,750,760,77,0.337,0.402,0.262,0,162,35427700,1793649, 0.48 
CIN,NL,1999,865,711,96,0.341,0.451,0.272,0,163,50661649,2061324, 0.59 
CIN,NL,2000,825,765,85,0.343,0.447,0.274,0,163,67988112,2577371, 0.52 
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,162,69261920,1879757, 0.41 
CIN,NL,2002,709,774,78,0.33,0.408,0.253,0,162,61535147,1855973, 0.48 
CIN,NL,2003,694,886,69,0.318,0.395,0.245,0,162,80193307,2355259, 0.43 
CIN,NL,2004,750,907,76,0.331,0.418,0.25,0,162,61599283,2287250, 0.47 
CIN,NL,2005,820,889,73,0.339,0.446,0.261,0,163,78787306,1943157, 0.45 
CIN,NL,2006,749,801,80,0.336,0.432,0.257,0,162,70456204,2134472, 0.49 
CIN,NL,2007,783,853,72,0.335,0.436,0.267,0,162,82452401,2056453, 0.44 
CIN,NL,2008,704,800,74,0.321,0.408,0.247,0,162,80847228,2058632, 0.46 
CLE,AL,1998,850,779,89,0.347,0.448,0.272,1,162,89270976,3467299, 0.55 
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,162,110954743,3468436, 0.60 
CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,162,112080216,3456278, 0.56 
CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,162,131388341,3182523, 0.56 
CLE,AL,2002,739,837,74,0.321,0.412,0.249,0,162,106896489,2616940, 0.46 
CLE,AL,2003,699,778,68,0.316,0.401,0.254,0,162,54379374,1730002, 0.42 
CLE,AL,2004,858,857,80,0.351,0.444,0.276,0,162,44822064,1814401, 0.49 
CLE,AL,2005,790,642,93,0.334,0.453,0.271,0,162,52718080,1973185, 0.57 
CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,162,69479060,1998070, 0.48 
CLE,AL,2007,811,704,96,0.343,0.428,0.268,1,162,74160497,2275911, 0.59 
CLE,AL,2008,805,761,81,0.339,0.424,0.262,0,162,92394977,2169760, 0.50 
COL,NL,1998,826,855,77,0.347,0.461,0.291,0,162,76907058,3792683, 0.48 
COL,NL,1999,906,1028,72,0.348,0.472,0.288,0,162,88993114,3235833, 0.44 
COL,NL,2000,968,897,82,0.362,0.455,0.294,0,162,88784337,3149117, 0.51 
COL,NL,2001,923,906,73,0.354,0.483,0.292,0,162,100701194,3168579, 0.45 
COL,NL,2002,778,898,73,0.337,0.423,0.274,0,162,76729450,2737918, 0.45 
COL,NL,2003,853,892,74,0.344,0.445,0.267,0,162,91364347,2334085, 0.46 
COL,NL,2004,833,923,68,0.345,0.455,0.275,0,162,75072072,2338069, 0.42 
COL,NL,2005,740,862,67,0.333,0.411,0.267,0,162,61233920,1915586, 0.41 
COL,NL,2006,813,812,76,0.341,0.433,0.27,0,162,49887680,2105995, 0.47 
COL,NL,2007,860,758,90,0.354,0.437,0.28,1,163,64784610,2376250, 0.55 
COL,NL,2008,747,822,74,0.336,0.415,0.263,0,162,80326935,2650218, 0.46 
DET,AL,1998,722,863,65,0.323,0.415,0.264,0,162,37368100,1409391, 0.40 
DET,AL,1999,747,882,69,0.326,0.443,0.261,0,161,54676596,2026491, 0.43 
DET,AL,2000,823,827,79,0.343,0.438,0.275,0,162,86439544,2438617, 0.49 
DET,AL,2001,724,876,66,0.32,0.409,0.26,0,162,75020257,1920995, 0.41 
DET,AL,2002,575,864,55,0.3,0.379,0.248,0,161,76214395,1503623, 0.34 
DET,AL,2003,591,928,43,0.3,0.375,0.24,0,162,66868480,1368245, 0.27 
DET,AL,2004,827,844,72,0.337,0.449,0.272,0,162,61449990,1917004, 0.44 
DET,AL,2005,723,787,71,0.321,0.428,0.272,0,162,84163200,2024505, 0.44 
DET,AL,2006,822,675,95,0.329,0.449,0.274,1,162,94590754,2595937, 0.59 
DET,AL,2007,887,797,88,0.345,0.458,0.287,0,162,112633296,3047124, 0.54 
DET,AL,2008,821,857,74,0.34,0.444,0.271,0,162,159522124,3202654, 0.46 
FLA,NL,1998,667,923,54,0.317,0.373,0.248,0,162,53429787,1750395, 0.33 
FLA,NL,1999,691,852,64,0.325,0.395,0.263,0,162,31838350,1369421, 0.40 
FLA,NL,2000,731,797,79,0.331,0.409,0.262,0,161,28023240,1173389, 0.49 
FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,162,40271910,1261226, 0.47 
FLA,NL,2002,699,763,79,0.337,0.403,0.261,0,162,58071305,813111, 0.49 
FLA,NL,2003,751,692,91,0.333,0.421,0.266,1,162,66844000,1303215, 0.56 
FLA,NL,2004,718,700,83,0.329,0.406,0.264,0,162,55644596,1723105, 0.51 
FLA,NL,2005,717,732,83,0.339,0.409,0.272,0,162,76875308,1823388, 0.51 
FLA,NL,2006,758,772,78,0.331,0.435,0.264,0,162,18192660,1165120, 0.48 
