yearID,teamID,G,W,WAR,Salary
1998,LAA,162,85,11.9,"$41,088,500 "
1998,ARI,162,65,9.9,"$31,967,000 "
1998,ATL,162,106,37.3,"$60,821,000 "
1998,BAL,162,79,24.9,"$72,355,634 "
1998,BOS,162,92,31.4,"$51,857,000 "
1998,CHC,163,80,18.6,"$50,665,000 "
1998,CHW,163,90,27.2,"$39,675,000 "
1998,CIN,162,77,16.7,"$23,005,000 "
1998,CLE,162,89,27.4,"$57,968,166 "
1998,COL,162,77,17.4,"$49,939,648 "
1998,DET,162,65,19.3,"$24,265,000 "
1998,FLA,162,54,10.9,"$34,694,667 "
1998,HOU,162,102,31.6,"$41,845,000 "
1998,KCR,161,72,8.7,"$37,537,500 "
1998,LAD,162,83,10.1,"$48,310,000 "
1998,MIL,162,74,14.2,"$33,504,012 "
1998,MIN,162,70,1.8,"$28,097,500 "
1998,MON,162,65,12.8,"$10,641,500 "
1998,NYM,162,88,13.8,"$51,665,499 "
1998,NYY,162,114,39.4,"$66,466,867 "
1998,OAK,162,74,12.9,"$20,907,000 "
1998,PHI,162,75,15.1,"$30,117,500 "
1998,PIT,163,69,3.1,"$14,719,000 "
1998,SDP,162,98,18.1,"$46,286,500 "
1998,SEA,161,76,28.8,"$54,379,536 "
1998,SFG,163,89,30.2,"$41,312,501 "
1998,STL,163,83,24.7,"$54,122,521 "
1998,TBD,162,63,14.2,"$27,080,000 "
1998,TEX,162,88,31.9,"$56,529,595 "
1998,TOR,163,88,23.6,"$51,376,000 "
1999,LAA,162,70,14.2,"$53,933,166 "
1999,ARI,162,100,26.9,"$68,303,999 "
1999,ATL,162,103,24.5,"$64,836,000 "
1999,BAL,162,78,32.6,"$80,805,863 "
1999,BOS,162,94,24.4,"$63,897,500 "
1999,CHC,162,75,10,"$61,388,000 "
1999,CHW,162,67,16.3,"$24,970,000 "
1999,CIN,163,96,28.7,"$33,550,761 "
1999,CLE,162,97,35.3,"$73,479,962 "
1999,COL,162,72,1.3,"$58,935,837 "
1999,DET,161,69,17.9,"$36,209,666 "
1999,FLA,162,64,10.9,"$21,085,000 "
1999,HOU,162,97,22.9,"$50,114,000 "
1999,KCR,161,64,25,"$24,035,000 "
1999,LAD,162,77,20.2,"$80,662,453 "
1999,MIL,161,74,16.5,"$43,377,395 "
1999,MIN,161,63,3.9,"$22,107,500 "
1999,MON,162,68,9.2,"$17,480,500 "
1999,NYM,163,97,27.5,"$65,727,092 "
1999,NYY,162,98,27,"$86,334,359 "
1999,OAK,162,87,26.7,"$24,421,833 "
1999,PHI,162,77,19.7,"$30,957,500 "
1999,PIT,161,78,14.2,"$23,997,666 "
1999,SDP,162,74,15.4,"$41,851,513 "
1999,SEA,162,79,17.1,"$52,325,003 "
1999,SFG,162,86,22.3,"$46,798,057 "
1999,STL,161,75,13.9,"$49,438,195 "
1999,TBD,162,69,9.4,"$38,660,000 "
1999,TEX,162,95,28.5,"$76,709,931 "
1999,TOR,162,84,26,"$44,869,333 "
2000,LAA,162,82,29.5,"$52,264,167 "
2000,ARI,162,85,12.4,"$80,812,833 "
2000,ATL,162,95,24.6,"$75,817,836 "
2000,BAL,162,74,18.7,"$82,147,435 "
2000,BOS,162,85,15.4,"$71,312,833 "
2000,CHC,162,95,14.4,"$60,069,333 "
2000,CHW,162,65,28.3,"$31,308,500 "
2000,CIN,163,85,21.4,"$46,567,200 "
2000,CLE,162,90,30.7,"$76,767,271 "
2000,COL,162,82,20,"$60,811,190 "
2000,DET,162,79,24.5,"$59,205,167 "
2000,FLA,161,79,14.4,"$19,194,000 "
2000,HOU,162,72,17.3,"$51,289,111 "
2000,KCR,162,77,23.6,"$24,700,500 "
2000,LAD,162,86,21.9,"$87,924,286 "
2000,MIL,163,73,12.9,"$35,633,333 "
2000,MIN,162,69,6.2,"$17,529,500 "
2000,MON,162,67,5.2,"$29,794,333 "
2000,NYM,162,94,21.6,"$79,509,776 "
2000,NYY,161,87,21.5,"$92,713,260 "
2000,OAK,161,91,25.3,"$33,172,333 "
2000,PHI,162,65,9.5,"$44,308,000 "
2000,PIT,162,69,9.3,"$29,328,334 "
2000,SDP,162,76,13.7,"$47,879,333 "
2000,SEA,162,91,32.9,"$60,295,000 "
2000,SFG,162,97,34.1,"$53,737,826 "
2000,STL,162,95,29.8,"$61,653,863 "
2000,TBD,161,69,10.9,"$53,840,129 "
2000,TEX,162,71,15.8,"$67,770,921 "
2000,TOR,162,83,21.9,"$46,038,332 "
2001,LAA,162,75,20.3,"$33,778,500 "
2001,ARI,162,92,21.4,"$76,855,499 "
2001,ATL,162,88,16.9,"$91,291,666 "
2001,BAL,162,63,12.6,"$55,345,500 "
2001,BOS,161,82,15.5,"$109,833,333 "
2001,CHC,162,83,21.6,"$64,715,833 "
2001,CHW,162,88,21.2,"$63,703,667 "
2001,CIN,162,66,7.2,"$48,776,000 "
2001,CLE,162,91,25.9,"$92,527,001 "
2001,COL,162,73,28,"$70,916,334 "
2001,DET,162,66,17.5,"$52,831,167 "
2001,FLA,162,76,18.7,"$28,360,500 "
2001,HOU,162,93,20.9,"$58,312,667 "
2001,KCR,162,65,16.8,"$31,970,000 "
2001,LAD,162,86,17.4,"$101,272,620 "
2001,MIL,162,68,14,"$43,670,833 "
2001,MIN,162,85,25.9,"$23,895,000 "
2001,MON,162,68,0.4,"$34,934,500 "
2001,NYM,162,82,10.9,"$92,444,428 "
2001,NYY,161,95,18.3,"$110,181,143 "
2001,OAK,162,102,29.4,"$33,810,750 "
2001,PHI,162,86,22,"$41,663,833 "
2001,PIT,162,62,3.8,"$49,535,833 "
